hour_utc,samples,pack_current_avg_a,pack_voltage_avg_v,cell_min_avg_mv,cell_max_avg_mv,delta_avg_mv,delta_max_mv,temp_max_avg_c,temp_min_avg_c
2026-03-28 13:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 14:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 15:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 16:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 17:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 18:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 19:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 20:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 21:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 22:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-28 23:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-29 00:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-29 01:00:00,120,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-29 02:00:00,103,0.00,342.4,3554,3571,17.0,17,13.5,11.5
2026-03-30 16:00:00,61,0.00,341.5,3547,3564,17.4,20,13.5,11.5
2026-03-30 17:00:00,121,0.00,341.5,3546,3564,17.6,19,13.5,11.5
2026-03-30 18:00:00,120,0.00,341.5,3546,3564,17.4,19,13.5,11.5
2026-03-30 19:00:00,120,0.00,341.5,3546,3564,17.6,19,13.5,11.5
2026-03-30 20:00:00,121,0.00,341.5,3546,3564,17.6,19,13.5,11.5
2026-03-30 21:00:00,120,0.00,341.5,3546,3564,17.6,19,13.5,11.5
2026-03-30 22:00:00,120,0.00,341.5,3546,3563,17.4,19,13.5,11.5
2026-03-30 23:00:00,120,0.00,341.4,3546,3563,17.3,19,13.5,11.5
2026-03-31 00:00:00,120,0.00,341.4,3546,3563,17.4,19,13.5,11.5
2026-03-31 01:00:00,120,0.00,341.4,3546,3563,17.4,19,13.5,11.5
2026-03-31 02:00:00,120,0.00,341.4,3546,3563,17.4,19,13.5,11.4
2026-03-31 03:00:00,120,0.00,341.4,3546,3563,17.1,19,13.5,11.3
2026-03-31 04:00:00,120,0.00,341.4,3545,3563,17.1,19,13.5,11.1
2026-03-31 05:00:00,120,0.00,341.4,3545,3562,17.0,19,13.5,11.1
2026-03-31 06:00:00,120,0.00,341.4,3545,3562,17.0,19,13.5,11.1
2026-03-31 07:00:00,120,0.00,341.3,3545,3562,16.9,19,13.5,11.2
2026-03-31 08:00:00,122,0.00,341.3,3545,3562,16.8,19,13.5,11.2
2026-03-31 09:00:00,124,0.00,341.3,3545,3562,16.6,20,13.5,11.4
2026-03-31 10:00:00,120,0.00,341.3,3545,3562,16.7,19,13.5,11.5
2026-03-31 11:00:00,120,0.00,341.3,3545,3562,16.6,19,13.5,11.5
2026-03-31 12:00:00,120,0.00,341.3,3545,3561,16.5,19,13.5,11.5
2026-03-31 13:00:00,120,0.00,341.3,3545,3561,16.4,19,13.5,11.5
2026-03-31 14:00:00,120,0.00,341.3,3545,3561,16.3,19,13.5,11.5
2026-03-31 15:00:00,120,0.00,341.3,3545,3561,16.5,19,13.5,11.5
2026-03-31 16:00:00,120,0.00,341.2,3545,3561,16.3,19,13.5,11.5
2026-03-31 17:00:00,118,0.00,341.2,3544,3561,16.4,19,13.5,11.5
2026-03-31 18:00:00,120,0.00,341.2,3544,3561,16.5,19,13.5,11.5
