timestamp_utc,bus,direction,can_id_hex,dlc,data_hex,is_extended,is_fd,is_brs
2026-05-10 21:58:01.315,can_fd,rx,0x262,3,606060,f,f,f
2026-05-10 21:58:01.316,can_fd,rx,0x308,5,2492492490,f,f,f
2026-05-10 21:58:01.316,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.336,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.337,can_fd,rx,0x200,8,161EF61FB1007800,f,f,f
2026-05-10 21:58:01.337,can_fd,rx,0x202,8,15F2F5EFAF987800,f,f,f
2026-05-10 21:58:01.338,can_fd,rx,0x204,8,1612F600AFE07800,f,f,f
2026-05-10 21:58:01.338,can_fd,rx,0x206,8,15F6F5F3AF887800,f,f,f
2026-05-10 21:58:01.338,can_fd,rx,0x208,8,0000000000007800,f,f,f
2026-05-10 21:58:01.338,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.339,can_fd,rx,0x216,7,01FA8F8C92FB1D,f,f,f
2026-05-10 21:58:01.339,can_fd,rx,0x2C7,6,036000A8F000,f,f,f
2026-05-10 21:58:01.356,can_fd,tx,0x778,7,00310000000000,f,f,f
2026-05-10 21:58:01.362,can_fd,rx,0x200,8,161EF622B0F89800,f,f,f
2026-05-10 21:58:01.362,can_fd,rx,0x202,8,15F0F5F1AF809800,f,f,f
2026-05-10 21:58:01.363,can_fd,rx,0x204,8,15FBF5F9B0089800,f,f,f
2026-05-10 21:58:01.363,can_fd,rx,0x206,8,15F2F5F2AFA89800,f,f,f
2026-05-10 21:58:01.363,can_fd,rx,0x208,8,0000000000009800,f,f,f
2026-05-10 21:58:01.363,can_fd,rx,0x20C,6,020007B0B1AF,f,f,f
2026-05-10 21:58:01.364,can_fd,rx,0x216,7,01FA8E8C92FB1D,f,f,f
2026-05-10 21:58:01.364,can_fd,rx,0x2C7,6,036000A8E000,f,f,f
2026-05-10 21:58:01.364,can_fd,rx,0x260,8,486A6A6B68000000,f,f,f
2026-05-10 21:58:01.364,can_fd,rx,0x262,3,686868,f,f,f
2026-05-10 21:58:01.364,can_fd,rx,0x270,8,6B6B6B686B6B6B68,f,f,f
2026-05-10 21:58:01.365,can_fd,rx,0x272,8,6868686868686868,f,f,f
2026-05-10 21:58:01.365,can_fd,rx,0x274,2,6868,f,f,f
2026-05-10 21:58:01.365,can_fd,rx,0x460,4,0C000000,f,f,f
2026-05-10 21:58:01.376,can_fd,tx,0x778,7,00310000000000,f,f,f
